,dolar,bid,ask,last,time,date,brecha_%
0,nacion_billete,93.0,93.78,93.0,20:36:41,2021-05-12,
1,nacion_divisa,99.0,93.98,99.0,20:36:41,2021-05-12,
2,tiendadolar_dai,156.5,162.0,162.0,20:36:41,2021-05-12,
3,buenbit_dai,159.3,164.1,164.1,20:36:41,2021-05-12,
4,mep_48,152.8517,153.3568,153.3568,20:36:41,2021-05-12,
5,ccl_48,157.6946,158.5152,158.5152,20:36:41,2021-05-12,
6,nacion_billete,93.0,93.81,93.0,11:11:02,2021-05-14,0.0
7,nacion_divisa,99.0,94.01,99.0,11:11:02,2021-05-14,6.45
8,solidario,,,163.35,11:11:02,2021-05-14,75.65
9,dolar_blue,148.0,151.0,151.0,11:11:02,2021-05-14,62.37
10,mep_48,156.8195,149.3824,153.7113,11:11:02,2021-05-14,65.28
11,ccl_48,158.6976,0.0,158.6727,11:11:02,2021-05-14,70.62
12,tiendadolar_dai,157.5,163.0,163.0,11:11:02,2021-05-14,75.27
13,buenbit_dai,156.7,161.4,161.4,11:11:02,2021-05-14,73.55
14,nacion_billete,93.0,93.81,93.0,11:13:18,2021-05-14,0.0
15,nacion_divisa,99.0,94.01,99.0,11:13:18,2021-05-14,6.45
16,solidario,,,163.35,11:13:18,2021-05-14,75.65
17,dolar_blue,148.0,151.0,151.0,11:13:18,2021-05-14,62.37
18,mep_48,156.8195,149.3824,153.7113,11:13:18,2021-05-14,65.28
19,ccl_48,158.6976,0.0,158.6727,11:13:18,2021-05-14,70.62
20,tiendadolar_dai,157.5,163.0,163.0,11:13:18,2021-05-14,75.27
21,buenbit_dai,157.0,161.7,161.7,11:13:18,2021-05-14,73.87
22,nacion_billete,93.0,93.81,93.0,11:20:09,2021-05-14,0.0
23,nacion_divisa,99.0,94.01,99.0,11:20:09,2021-05-14,6.45
24,solidario,,,163.35,11:20:09,2021-05-14,75.65
25,dolar_blue,148.0,151.0,151.0,11:20:09,2021-05-14,62.37
26,mep_48,154.1316,154.2356,153.7113,11:20:09,2021-05-14,65.28
27,ccl_48,158.4973,159.7026,158.6727,11:20:09,2021-05-14,70.62
28,tiendadolar_dai,157.5,163.0,163.0,11:20:09,2021-05-14,75.27
29,buenbit_dai,158.0,162.8,162.8,11:20:09,2021-05-14,75.05
30,nacion_billete,93.0,93.81,93.0,12:20:13,2021-05-14,0.0
31,nacion_divisa,99.0,94.01,99.0,12:20:13,2021-05-14,6.45
32,solidario,,,163.35,12:20:13,2021-05-14,75.65
33,dolar_blue,149.0,152.0,152.0,12:20:13,2021-05-14,63.44
34,mep_48,153.9497,154.0955,153.7113,12:20:13,2021-05-14,65.28
35,ccl_48,159.0583,159.4012,158.6727,12:20:13,2021-05-14,70.62
36,tiendadolar_dai,157.5,163.0,163.0,12:20:13,2021-05-14,75.27
37,buenbit_dai,158.8,163.5,163.5,12:20:13,2021-05-14,75.81
38,nacion_billete,93.0,93.81,93.0,13:20:16,2021-05-14,0.0
39,nacion_divisa,99.0,94.01,99.0,13:20:16,2021-05-14,6.45
40,solidario,,,163.35,13:20:16,2021-05-14,75.65
41,dolar_blue,149.0,152.0,152.0,13:20:16,2021-05-14,63.44
42,mep_48,153.3582,153.5037,153.7853,13:20:16,2021-05-14,65.36
43,ccl_48,158.7816,159.0774,159.0977,13:20:16,2021-05-14,71.07
44,tiendadolar_dai,157.7,163.2,163.2,13:20:16,2021-05-14,75.48
45,buenbit_dai,158.9,163.7,163.7,13:20:16,2021-05-14,76.02
46,nacion_billete,93.0,93.81,93.0,14:21:08,2021-05-14,0.0
47,nacion_divisa,99.0,94.01,99.0,14:21:08,2021-05-14,6.45
48,solidario,,,163.35,14:21:08,2021-05-14,75.65
49,dolar_blue,149.0,152.0,152.0,14:21:08,2021-05-14,63.44
50,mep_48,153.2295,153.3305,152.8,14:21:08,2021-05-14,64.3
51,ccl_48,158.2964,158.9185,158.3185,14:21:08,2021-05-14,70.23
52,tiendadolar_dai,157.5,163.0,163.0,14:21:08,2021-05-14,75.27
53,buenbit_dai,159.8,164.6,164.6,14:21:08,2021-05-14,76.99
54,nacion_billete,93.0,93.84,93.0,15:21:09,2021-05-14,0.0
55,nacion_divisa,99.0,94.04,99.0,15:21:09,2021-05-14,6.45
56,solidario,,,163.35,15:21:09,2021-05-14,75.65
57,dolar_blue,150.0,153.0,153.0,15:21:09,2021-05-14,64.52
58,mep_48,153.9074,154.0517,153.8813,15:21:09,2021-05-14,65.46
59,ccl_48,159.5287,160.0591,159.103,15:21:09,2021-05-14,71.08
60,tiendadolar_dai,158.3,163.8,163.8,15:21:09,2021-05-14,76.13
61,buenbit_dai,159.4,164.2,164.2,15:21:09,2021-05-14,76.56
62,nacion_billete,93.0,93.84,93.0,16:21:08,2021-05-14,0.0
63,nacion_divisa,99.0,94.04,99.0,16:21:08,2021-05-14,6.45
64,solidario,,,163.35,16:21:08,2021-05-14,75.65
65,dolar_blue,150.0,153.0,153.0,16:21:08,2021-05-14,64.52
66,mep_48,153.9403,154.1002,153.9118,16:21:08,2021-05-14,65.5
67,ccl_48,158.6804,159.5989,159.6341,16:21:08,2021-05-14,71.65
68,tiendadolar_dai,158.4,163.9,163.9,16:21:08,2021-05-14,76.24
69,buenbit_dai,161.1,165.9,165.9,16:21:08,2021-05-14,78.39
70,nacion_billete,93.0,93.84,93.0,17:21:08,2021-05-14,0.0
71,nacion_divisa,99.0,94.04,99.0,17:21:08,2021-05-14,6.45
72,solidario,,,163.35,17:21:08,2021-05-14,75.65
73,dolar_blue,150.0,153.0,153.0,17:21:08,2021-05-14,64.52
74,mep_48,153.9447,154.2189,154.4444,17:21:08,2021-05-14,66.07
75,ccl_48,158.8771,159.1645,159.2538,17:21:08,2021-05-14,71.24
76,tiendadolar_dai,158.4,163.9,163.9,17:21:08,2021-05-14,76.24
77,buenbit_dai,160.6,165.4,165.4,17:21:08,2021-05-14,77.85
